,precision,recall,f1-score,support,Timestamp
landscape,0.6401050788091068,0.8411967779056386,0.7270014917951269,869.0,11122024_232220
portrait,0.7647058823529411,0.6338652482269503,0.6931652932622394,1128.0,11122024_232220
still-life,0.39,0.2785714285714286,0.325,280.0,11122024_232220
accuracy,0.6693017127799736,0.6693017127799736,0.6693017127799736,0.6693017127799736,11122024_232220
macro avg,0.5982703203873494,0.5845444849013391,0.5817222616857888,2277.0,11122024_232220
weighted avg,0.6710757789983449,0.6693017127799736,0.6608057738997678,2277.0,11122024_232220
landscape,0.6401050788091068,0.8411967779056386,0.7270014917951269,869.0,11122024_232308
portrait,0.7647058823529411,0.6338652482269503,0.6931652932622394,1128.0,11122024_232308
still-life,0.39,0.2785714285714286,0.325,280.0,11122024_232308
accuracy,0.6693017127799736,0.6693017127799736,0.6693017127799736,0.6693017127799736,11122024_232308
macro avg,0.5982703203873494,0.5845444849013391,0.5817222616857888,2277.0,11122024_232308
weighted avg,0.6710757789983449,0.6693017127799736,0.6608057738997678,2277.0,11122024_232308
landscape,0.6731757451181911,0.7537399309551208,0.7111834961997828,869.0,11122024_232647
portrait,0.6944894651539708,0.7597517730496454,0.7256562235393734,1128.0,11122024_232647
still-life,0.5142857142857142,0.1285714285714285,0.2057142857142857,280.0,11122024_232647
accuracy,0.6798418972332015,0.6798418972332015,0.6798418972332015,0.6798418972332015,11122024_232647
macro avg,0.6273169748526254,0.5473543775253983,0.547518001817814,2277.0,11122024_232647
weighted avg,0.6641958011424625,0.6798418972332015,0.6561961696750216,2277.0,11122024_232647
landscape,0.635004397537379,0.8308400460299195,0.7198404785643071,869.0,11122024_232851
portrait,0.7343283582089553,0.6542553191489362,0.6919831223628692,1128.0,11122024_232851
still-life,0.4592592592592592,0.2214285714285714,0.2987951807228916,280.0,11122024_232851
accuracy,0.668423364075538,0.668423364075538,0.668423364075538,0.668423364075538,11122024_232851
macro avg,0.6095306716685313,0.5688413122024757,0.5702062605500227,2277.0,11122024_232851
weighted avg,0.6625971902118034,0.668423364075538,0.6542648170839303,2277.0,11122024_232851
landscape,0.8142414860681114,0.3026467203682393,0.4412751677852349,869.0,11122024_233937
portrait,0.7553366174055829,0.4078014184397163,0.5296488198042603,1128.0,11122024_233937
still-life,0.1672862453531598,0.8035714285714286,0.2769230769230769,280.0,11122024_233937
accuracy,0.4163372859025033,0.4163372859025033,0.4163372859025033,0.4163372859025033,11122024_233937
macro avg,0.5789547829422848,0.5046731891264614,0.4159490215041907,2277.0,11122024_233937
weighted avg,0.7055053599146119,0.4163372859025033,0.4648442912090628,2277.0,11122024_233937
landscape,0.7735507246376812,0.4913693901035673,0.6009852216748769,869.0,11122024_234055
portrait,0.6060975609756097,0.8812056737588653,0.7182080924855492,1128.0,11122024_234055
still-life,0.4352941176470588,0.1321428571428571,0.2027397260273972,280.0,11122024_234055
accuracy,0.6403162055335968,0.6403162055335968,0.6403162055335968,0.6403162055335968,11122024_234055
macro avg,0.6049808010867832,0.5015726403350965,0.5073110133959411,2277.0,11122024_234055
weighted avg,0.6490013093683835,0.6403162055335968,0.6100843255366003,2277.0,11122024_234055
landscape,0.8087855297157622,0.3601841196777905,0.4984076433121019,869.0,11122024_234204
portrait,0.6151104775481112,0.7650709219858156,0.6819438956934019,1128.0,11122024_234204
still-life,0.2587268993839836,0.45,0.3285528031290743,280.0,11122024_234204
accuracy,0.5718050065876152,0.5718050065876152,0.5718050065876152,0.5718050065876152,11122024_234204
macro avg,0.5608743022159524,0.5250850138878688,0.5029681140448593,2277.0,11122024_234204
weighted avg,0.6452010434013098,0.5718050065876152,0.568442574113533,2277.0,11122024_234204
landscape,0.6962305986696231,0.7226697353279632,0.7092038396386222,869.0,11122024_234338
portrait,0.7558746736292428,0.5132978723404256,0.6114044350580782,1128.0,11122024_234338
still-life,0.2200328407224959,0.4785714285714286,0.3014623172103487,280.0,11122024_234338
accuracy,0.5889328063241107,0.5889328063241107,0.5889328063241107,0.5889328063241107,11122024_234338
macro avg,0.5573793710071205,0.5715130120799391,0.5406901973023498,2277.0,11122024_234338
