ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
1	1.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Allegory	1598	Oil on copper, 56 x 47 cm	Alte Pinakothek, Munich	painting	mythological	German	1601-1650	http://www.wga.hu/html/a/aachen/allegory.html
2	2.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Bacchus, Ceres and Cupid	-	Oil on canvas, 163 x 113 cm	Kunsthistorisches Museum, Vienna	painting	mythological	German	1601-1650	http://www.wga.hu/html/a/aachen/bacchus.html
4	4.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Portrait of Emperor Rudolf II	1590s	Oil on canvas, 60 x 48 cm	Kunsthistorisches Museum, Vienna	painting	portrait	German	1601-1650	http://www.wga.hu/html/a/aachen/rudolf2.html
5	5.jpg	AACHEN, Hans von	(b. 1552, Köln, d. 1615, Praha)	Self-Portrait with a Glass of Wine	c. 1596	Oil on canvas, 53 x 44 cm	Private collection	painting	portrait	German	1601-1650	http://www.wga.hu/html/a/aachen/selfport.html
6	6.jpg	AAGAARD, Carl Frederik	(b. 1833, Odense, d. 1895, København)	Deer beside a Lake	1888	Oil on canvas, 53 x 82 cm	Private collection	painting	landscape	Danish	1851-1900	http://www.wga.hu/html/a/aagaard/deerlake.html
7	7.jpg	AAGAARD, Carl Frederik	(b. 1833, Odense, d. 1895, København)	The Rose Garden	1877	Oil on canvas, 98 x 80 cm	Private collection	painting	landscape	Danish	1851-1900	http://www.wga.hu/html/a/aagaard/rosegard.html
15	15.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Stag Hunt	1550-52	Oil on canvas, 116 x 159 cm	Galleria Borghese, Rome	painting	landscape	Italian	1501-1550	http://www.wga.hu/html/a/abbate/deerhunt.html
16	16.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	Orpheus and Eurydice	-	Oil on canvas, 188 x 237 cm	National Gallery, London	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/orpheus.html
17	17.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	The Rape of Proserpine	c. 1570	Oil on canvas, 196 x 220 cm	Musée du Louvre, Paris	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/proserpi.html
18	18.jpg	ABBATE, Niccolò dell'	(b. 1509, Modena, d. 1571, Fontainebleau)	The Continence of Scipio	c. 1555	Oil on canvas, 127 x 115 cm	Musée du Louvre, Paris	painting	mythological	Italian	1501-1550	http://www.wga.hu/html/a/abbate/scipio.html
19	19.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Landscape at Castiglioncello	1863	Oil on panel, 10 x 30 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati1.html
20	20.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Country Road with Cypresses	c. 1860	Oil on canvas, 28 x 37 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati2.html
21	21.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Cloister	1861-62	Oil on cardboard, 19 x 25 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	landscape	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati3.html
22	22.jpg	ABBATI, Giuseppe	(b. 1836, Napoli, d. 1868, Firenze)	Portrait of a Woman	1865-66	Oil on panel, 26 x 14 cm	Galleria dell'Arte Moderna, Palazzo Pitti, Florence	painting	portrait	Italian	1851-1900	http://www.wga.hu/html/a/abbati/abbati4.html
29	29.jpg	ABONDIO, Antonio	(b. 1538, Riva del Garda, d. 1591, Wien)	Medallion Portrait of Emperor Maximilian II	c. 1575	Wax on obsidian	Kunsthistorisches Museum, Vienna	sculpture	portrait	Italian	1551-1600	http://www.wga.hu/html/a/abondio/maximili.html
30	30.jpg	ACHENBACH, Oswald	(b. 1827, Düsseldorf, d. 1905, Düsseldorf)	Fireworks in Naples	1875	Oil on canvas, 66 x 102 cm	The Hermitage, St. Petersburg	painting	landscape	German	1851-1900	http://www.wga.hu/html/a/achenbac/firework.html
34	34.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Neptune and Amphitrite	1740 (completed)	Lead	Bassin de Naptune, Versailles	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/neptune.html
35	35.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Neptune Calming the Waves	1737	Marble	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/neptune1.html
36	36.jpg	ADAM, Lambert-Sigisbert	(b. 1700, Nancy, d. 1759, Nancy)	Self-portrait	c. 1740	Drawing	Ashmolean Museum, Oxford	graphics	portrait	French	1701-1750	http://www.wga.hu/html/a/adam/lambert/selfport.html
41	41.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Prometheus	1737	Marble, height 115 cm	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/promethe.html
42	42.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Prometheus	1737	Marble, height 115 cm	Musée du Louvre, Paris	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/promethx.html
43	43.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn	1742-45	Marble, height 177 cm	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase.html
44	44.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn (detail)	1742-45	Marble	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase1.html
45	45.jpg	ADAM, Nicolas-Sébastien	(b. 1705, Nancy, d. 1778, Paris)	Monumental vase on the theme of autumn (detail)	1742-45	Marble	Metropolitan Museum of Art, New York	sculpture	mythological	French	1701-1750	http://www.wga.hu/html/a/adam/nicolas/vase2.html
50	50.jpg	ADAM-SALOMON, Antoine-Samuel	(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)	Bust of Isaac Péreire	-	White marble, height 77 cm	Private collection	sculpture	portrait	French	1851-1900	http://www.wga.hu/html/a/adam-sal/pereire.html
62	62.jpg	ADLER, Salomon	(b. 1630, Danzig, d. 1709, Milano)	Self-Portrait	1650s	Oil on canvas, 74 x 60 cm	Private collection	painting	portrait	German	1651-1700	http://www.wga.hu/html/a/adler/selfport.html
64	64.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Fish and Dead Game	1643	Oil on canvas, 58 x 87 cm	The Hermitage, St. Petersburg	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/fishgame.html
65	65.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Fish	-	Oil on oak panel, 55 x 75,6 cm	Groeninge Museum, Bruges	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stilfish.html
66	66.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Flowers in a Glass Vase	c. 1650	Oil on panel, 54 x 43 cm	Private collection	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stilflow.html
67	67.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life	1646	Oil on panel, 44 x 64 cm	Private collection	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stillife.html
68	68.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Oysters	1630s	Oil on oak panel, 44 x 36 cm	Národní Galerie, Prague	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stiloyst.html
69	69.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Elector Frederick III of Saxony, Called Frederick the Wise	1498	Brass, height 62 cm	Staatliche Kunstsammlungen, Dresden	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/frederic.html
70	70.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Medal of Ferdinand II	c. 1494	Bronze, diameter 8 cm	National Gallery of Art, Washington	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/medal.html
71	71.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	1488-94	Bronze, height 50 cm	Museo di Sant'Agostino, Genoa	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano1.html
72	72.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	1488-94	Marble, 51 x 33 cm	Metropolitan Museum of Art, New York	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano2.html
73	73.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	c. 1488	Cast copper alloy, diameter 9 cm	National Gallery of Art, Washington	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano3.html
74	74.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Venus	1490s	Bronze, height 42 cm (with base)	Museum of Art, Philadelphia	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/adriano/venus.html
75	75.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Breakfast Piece	1671	Oil on canvas, 49 x 41 cm	Akademie der bildenden Künste, Vienna	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/breakfas.html
76	76.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Hunting Equipment and Dead Birds	1668	Oil on canvas, 68 x 54 cm	Staatliche Kunsthalle, Karlsruhe	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/deadbird.html
77	77.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Hunting Still-Life	c. 1665	Oil on canvas, 65,5 x 52,7 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/hunting.html
78	78.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Hunting Still-Life (detail)	c. 1665	Oil on canvas	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/hunting2.html
79	79.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life of Fruit	c. 1660	Oil on canvas, 47 x 52 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stil_fru.html
80	80.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with a Basket of Fruit on a Marble Ledge	1650	Oil on canvas, 38 x 50 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilbask.html
81	81.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	1675	Oil on canvas, 40 x 32 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilflow.html
82	82.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit	1653	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilfrui.html
83	83.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit and Crystal Vase	1652	Oil on canvas, 73 x 58 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/still_fr.html
84	84.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	c. 1645	Oil on panel, 41 x 32 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/still_li.html
85	85.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit	1664	Oil on canvas, 67 x 52 cm	Museo Thyssen-Bornemisza, Madrid	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillfru.html
86	86.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	1660s	Oil on canvas, 64 x 53 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillif.html
