,precision,recall,f1-score,support,Timestamp
0,0.8473895582329317,0.844,0.845691382765531,1000.0,09102024_004605
1,0.9879154078549848,0.981,0.9844455594581034,1000.0,09102024_004605
2,0.8330170777988615,0.878,0.8549172346640701,1000.0,09102024_004605
3,0.9404255319148936,0.884,0.911340206185567,1000.0,09102024_004605
4,0.8536345776031434,0.869,0.8612487611496531,1000.0,09102024_004605
5,0.9742828882294756,0.985,0.9796121332670312,1000.0,09102024_004605
6,0.7365754812563323,0.727,0.7317564167086059,1000.0,09102024_004605
7,0.9683673469387756,0.949,0.9585858585858584,1000.0,09102024_004605
8,0.9732673267326732,0.983,0.9781094527363184,1000.0,09102024_004605
9,0.960435212660732,0.971,0.9656887120835406,1000.0,09102024_004605
accuracy,0.9071,0.9071,0.9071,0.9071,09102024_004605
macro avg,0.9075310409222804,0.9071,0.907139571760428,10000.0,09102024_004605
weighted avg,0.9075310409222804,0.9071,0.9071395717604278,10000.0,09102024_004605
0,0.8728260869565218,0.803,0.8364583333333333,1000.0,09102024_004838
1,0.9919110212335692,0.981,0.986425339366516,1000.0,09102024_004838
2,0.8376560999039385,0.872,0.854483096521313,1000.0,09102024_004838
3,0.9233954451345756,0.892,0.9074262461851476,1000.0,09102024_004838
4,0.8284910965323337,0.884,0.8553459119496856,1000.0,09102024_004838
5,0.9741293532338308,0.979,0.9765586034912718,1000.0,09102024_004838
6,0.7350597609561753,0.738,0.7365269461077845,1000.0,09102024_004838
7,0.959758551307847,0.954,0.9568706118355064,1000.0,09102024_004838
8,0.9750499001996008,0.977,0.976023976023976,1000.0,09102024_004838
9,0.9565217391304348,0.968,0.9622266401590456,1000.0,09102024_004838
accuracy,0.9048,0.9048,0.9048,0.9048,09102024_004838
macro avg,0.9054799054588828,0.9048,0.904834570497358,10000.0,09102024_004838
weighted avg,0.9054799054588828,0.9048,0.904834570497358,10000.0,09102024_004838
0,0.8274161735700197,0.839,0.8331678252234359,1000.0,09102024_011148
1,0.992849846782431,0.972,0.9823143001515916,1000.0,09102024_011148
2,0.8205625606207565,0.846,0.8330871491875923,1000.0,09102024_011148
3,0.8973029045643154,0.865,0.8808553971486762,1000.0,09102024_011148
4,0.7653333333333333,0.861,0.8103529411764706,1000.0,09102024_011148
5,0.9824922760041196,0.954,0.9680365296803652,1000.0,09102024_011148
6,0.7094515752625438,0.608,0.6548196015078083,1000.0,09102024_011148
7,0.9152542372881356,0.972,0.9427740058195926,1000.0,09102024_011148
8,0.9511241446725318,0.973,0.9619377162629758,1000.0,09102024_011148
9,0.9671457905544149,0.942,0.9544072948328268,1000.0,09102024_011148
accuracy,0.8832,0.8832,0.8832,0.8832,09102024_011148
macro avg,0.8828932842652601,0.8831999999999999,0.8821752760991336,10000.0,09102024_011148
weighted avg,0.88289328426526,0.8832,0.8821752760991336,10000.0,09102024_011148
0,0.8426395939086294,0.83,0.836272040302267,1000.0,09102024_011700
1,0.998965873836608,0.966,0.98220640569395,1000.0,09102024_011700
2,0.8420533070088845,0.853,0.8474913065077,1000.0,09102024_011700
3,0.8932527693856999,0.887,0.8901154039136979,1000.0,09102024_011700
4,0.7998180163785259,0.879,0.8375416865173892,1000.0,09102024_011700
5,0.9722772277227724,0.982,0.9771144278606964,1000.0,09102024_011700
6,0.6923890063424947,0.655,0.6731757451181911,1000.0,09102024_011700
7,0.9397473275024296,0.967,0.953178905864958,1000.0,09102024_011700
8,0.9806910569105692,0.965,0.972782258064516,1000.0,09102024_011700
9,0.9753593429158112,0.95,0.9625126646403244,1000.0,09102024_011700
accuracy,0.8934,0.8934,0.8934,0.8934,09102024_011700
macro avg,0.8937193521912423,0.8934,0.893239084448369,10000.0,09102024_011700
weighted avg,0.8937193521912424,0.8934,0.8932390844483691,10000.0,09102024_011700
0,0.7756138865368332,0.916,0.8399816597890876,1000.0,09102024_012126
1,0.9928571428571428,0.973,0.9828282828282828,1000.0,09102024_012126
2,0.7573715248525695,0.899,0.8221307727480567,1000.0,09102024_012126
3,0.8810226155358899,0.896,0.888448190381755,1000.0,09102024_012126
4,0.8458149779735683,0.768,0.8050314465408805,1000.0,09102024_012126
5,0.9934354485776804,0.908,0.9487983281086728,1000.0,09102024_012126
6,0.7617728531855956,0.55,0.6387921022067363,1000.0,09102024_012126
7,0.8845807033363391,0.981,0.930298719772404,1000.0,09102024_012126
8,0.969,0.969,0.969,1000.0,09102024_012126
9,0.9623217922606924,0.945,0.9535822401614532,1000.0,09102024_012126
accuracy,0.8805,0.8805,0.8805,0.8805,09102024_012126
macro avg,0.8823790945116311,0.8805,0.8778891742537329,10000.0,09102024_012126
weighted avg,0.8823790945116312,0.8805,0.8778891742537329,10000.0,09102024_012126
0,0.8461538461538461,0.836,0.8410462776659959,1000.0,09102024_012349
1,0.9979423868312756,0.97,0.9837728194726166,1000.0,09102024_012349
2,0.8250950570342205,0.868,0.8460038986354775,1000.0,09102024_012349
3,0.8463661453541859,0.92,0.881648298993771,1000.0,09102024_012349
4,0.7879890809827116,0.866,0.8251548356360171,1000.0,09102024_012349
5,0.9884696016771488,0.943,0.9651995905834186,1000.0,09102024_012349
6,0.7594458438287154,0.603,0.6722408026755853,1000.0,09102024_012349
7,0.8923076923076924,0.986,0.9368171021377673,1000.0,09102024_012349
8,0.9671314741035856,0.971,0.969061876247505,1000.0,09102024_012349
9,0.9767195767195768,0.923,0.9491002570694088,1000.0,09102024_012349
accuracy,0.8886,0.8886,0.8886,0.8886,09102024_012349
macro avg,0.888762070499296,0.8886,0.8870045759117563,10000.0,09102024_012349
weighted avg,0.888762070499296,0.8886,0.8870045759117564,10000.0,09102024_012349
0,0.8540856031128404,0.878,0.8658777120315582,1000.0,09102024_013356
1,0.9959141981613892,0.975,0.9853461344113188,1000.0,09102024_013356
2,0.847675568743818,0.857,0.852312282446544,1000.0,09102024_013356
3,0.901,0.901,0.901,1000.0,09102024_013356
4,0.7720338983050847,0.911,0.8357798165137614,1000.0,09102024_013356
5,0.97592778335005,0.973,0.9744616925388082,1000.0,09102024_013356
6,0.7900912646675359,0.606,0.6859083191850595,1000.0,09102024_013356
7,0.94831013916501,0.954,0.9511465603190428,1000.0,09102024_013356
8,0.9487427466150872,0.981,0.9646017699115044,1000.0,09102024_013356
9,0.9619238476953909,0.96,0.960960960960961,1000.0,09102024_013356
accuracy,0.8996,0.8996,0.8996,0.8996,09102024_013356
macro avg,0.8995705049816205,0.8995999999999998,0.8977395248318558,10000.0,09102024_013356
weighted avg,0.8995705049816206,0.8996,0.8977395248318558,10000.0,09102024_013356
0,0.7972027972027972,0.912,0.8507462686567164,1000.0,09102024_014349
1,0.9908536585365854,0.975,0.9828629032258064,1000.0,09102024_014349
2,0.8317214700193424,0.86,0.8456243854473943,1000.0,09102024_014349
3,0.926517571884984,0.87,0.8973697782362042,1000.0,09102024_014349
4,0.804162724692526,0.85,0.8264462809917356,1000.0,09102024_014349
5,0.9507722007722008,0.985,0.9675834970530452,1000.0,09102024_014349
6,0.7770618556701031,0.603,0.6790540540540541,1000.0,09102024_014349
7,0.9691489361702128,0.911,0.9391752577319588,1000.0,09102024_014349
8,0.9308712121212122,0.983,0.9562256809338522,1000.0,09102024_014349
9,0.9429400386847197,0.975,0.9587020648967552,1000.0,09102024_014349
