,precision,recall,f1-score,support,Timestamp
0,0.8190212373037857,0.887,0.8516562650024004,1000.0,09102024_214821
1,0.9858156028368794,0.973,0.9793658782083544,1000.0,09102024_214821
2,0.8428571428571429,0.826,0.8343434343434344,1000.0,09102024_214821
3,0.8991008991008991,0.9,0.8995502248875562,1000.0,09102024_214821
4,0.8315585672797676,0.859,0.8450565666502705,1000.0,09102024_214821
5,0.9730807577268196,0.976,0.9745381927109336,1000.0,09102024_214821
6,0.7270742358078602,0.666,0.6951983298538622,1000.0,09102024_214821
7,0.94715852442672,0.95,0.9485771342985522,1000.0,09102024_214821
8,0.973973973973974,0.973,0.9734867433716858,1000.0,09102024_214821
9,0.963819095477387,0.959,0.9614035087719298,1000.0,09102024_214821
accuracy,0.8969,0.8969,0.8969,0.8969,09102024_214821
macro avg,0.8963460036791236,0.8968999999999999,0.8963176278098979,10000.0,09102024_214821
weighted avg,0.8963460036791235,0.8969,0.8963176278098979,10000.0,09102024_214821
0,0.8323809523809523,0.874,0.8526829268292683,1000.0,09102024_215016
1,0.9828973843058352,0.977,0.9799398194583752,1000.0,09102024_215016
2,0.8243114909781576,0.868,0.8455918168533852,1000.0,09102024_215016
3,0.9105858170606372,0.886,0.8981246832235175,1000.0,09102024_215016
4,0.8117427772600186,0.871,0.8403280270139893,1000.0,09102024_215016
5,0.9768378650553876,0.97,0.973406924234822,1000.0,09102024_215016
6,0.7736077481840193,0.639,0.6998904709748083,1000.0,09102024_215016
7,0.9471057884231536,0.949,0.948051948051948,1000.0,09102024_215016
8,0.9523346303501944,0.979,0.965483234714004,1000.0,09102024_215016
9,0.9593253968253967,0.967,0.9631474103585658,1000.0,09102024_215016
accuracy,0.898,0.898,0.898,0.898,09102024_215016
macro avg,0.8971129850823754,0.898,0.8966647261712684,10000.0,09102024_215016
weighted avg,0.8971129850823755,0.898,0.8966647261712684,10000.0,09102024_215016
0,0.8323809523809523,0.874,0.8526829268292683,1000.0,09102024_215237
1,0.9828973843058352,0.977,0.9799398194583752,1000.0,09102024_215237
2,0.8243114909781576,0.868,0.8455918168533852,1000.0,09102024_215237
3,0.9105858170606372,0.886,0.8981246832235175,1000.0,09102024_215237
4,0.8117427772600186,0.871,0.8403280270139893,1000.0,09102024_215237
5,0.9768378650553876,0.97,0.973406924234822,1000.0,09102024_215237
6,0.7736077481840193,0.639,0.6998904709748083,1000.0,09102024_215237
7,0.9471057884231536,0.949,0.948051948051948,1000.0,09102024_215237
8,0.9523346303501944,0.979,0.965483234714004,1000.0,09102024_215237
9,0.9593253968253967,0.967,0.9631474103585658,1000.0,09102024_215237
accuracy,0.898,0.898,0.898,0.898,09102024_215237
macro avg,0.8971129850823754,0.898,0.8966647261712684,10000.0,09102024_215237
weighted avg,0.8971129850823755,0.898,0.8966647261712684,10000.0,09102024_215237
0,0.8267045454545454,0.873,0.8492217898832685,1000.0,09102024_215419
1,0.9938587512794268,0.971,0.9822964087000504,1000.0,09102024_215419
2,0.7871024734982333,0.891,0.8358348968105066,1000.0,09102024_215419
3,0.9044715447154472,0.89,0.8971774193548387,1000.0,09102024_215419
4,0.8213592233009709,0.846,0.8334975369458129,1000.0,09102024_215419
5,0.9647058823529412,0.984,0.9742574257425742,1000.0,09102024_215419
6,0.7666666666666667,0.621,0.6861878453038674,1000.0,09102024_215419
7,0.959917780061665,0.934,0.9467815509376584,1000.0,09102024_215419
8,0.9719157472417252,0.969,0.970455683525288,1000.0,09102024_215419
9,0.950048971596474,0.97,0.9599208312716476,1000.0,09102024_215419
accuracy,0.8949,0.8949,0.8949,0.8949,09102024_215419
macro avg,0.8946751586168096,0.8949,0.8935631388475513,10000.0,09102024_215419
weighted avg,0.8946751586168095,0.8949,0.8935631388475512,10000.0,09102024_215419
0,0.8559919436052367,0.85,0.8529854490717511,1000.0,09102024_215515
1,0.9959183673469388,0.976,0.985858585858586,1000.0,09102024_215515
2,0.8326771653543307,0.846,0.8392857142857143,1000.0,09102024_215515
3,0.8781869688385269,0.93,0.9033511413307432,1000.0,09102024_215515
4,0.8315377081292851,0.849,0.8401781296387927,1000.0,09102024_215515
5,0.9711729622266402,0.977,0.9740777666999004,1000.0,09102024_215515
6,0.7448648648648649,0.689,0.7158441558441558,1000.0,09102024_215515
7,0.9321047526673132,0.961,0.9463318562284588,1000.0,09102024_215515
8,0.973026973026973,0.974,0.9735132433783108,1000.0,09102024_215515
9,0.9741735537190084,0.943,0.9583333333333334,1000.0,09102024_215515
accuracy,0.8995,0.8995,0.8995,0.8995,09102024_215515
macro avg,0.8989655259779118,0.8995,0.8989759375669747,10000.0,09102024_215515
weighted avg,0.8989655259779118,0.8995,0.8989759375669746,10000.0,09102024_215515
0,0.8484251968503937,0.862,0.8551587301587301,1000.0,09102024_215710
1,0.9948979591836736,0.975,0.9848484848484848,1000.0,09102024_215710
2,0.8666666666666667,0.832,0.8489795918367347,1000.0,09102024_215710
3,0.9135802469135802,0.888,0.9006085192697769,1000.0,09102024_215710
4,0.7969174977334542,0.879,0.8359486447931527,1000.0,09102024_215710
5,0.975,0.975,0.975,1000.0,09102024_215710
6,0.7274633123689728,0.694,0.7103377686796315,1000.0,09102024_215710
7,0.9406614785992218,0.967,0.9536489151873768,1000.0,09102024_215710
8,0.9701195219123506,0.974,0.9720558882235528,1000.0,09102024_215710
9,0.9745676500508648,0.958,0.9662128088754413,1000.0,09102024_215710
accuracy,0.9004,0.9004,0.9004,0.9004,09102024_215710
macro avg,0.9008299530279178,0.9004,0.9002799351872882,10000.0,09102024_215710
weighted avg,0.900829953027918,0.9004,0.9002799351872882,10000.0,09102024_215710
0,0.8264621284755513,0.862,0.8438570729319628,1000.0,09102024_215801
1,0.9819458375125376,0.979,0.9804707060590886,1000.0,09102024_215801
2,0.8631016042780749,0.807,0.834108527131783,1000.0,09102024_215801
3,0.917098445595855,0.885,0.900763358778626,1000.0,09102024_215801
4,0.8341559723593287,0.845,0.8395429706905116,1000.0,09102024_215801
5,0.9896800825593396,0.959,0.9740985271711528,1000.0,09102024_215801
6,0.7044776119402985,0.708,0.7062344139650872,1000.0,09102024_215801
7,0.9403131115459884,0.961,0.950544015825915,1000.0,09102024_215801
8,0.9394230769230768,0.977,0.957843137254902,1000.0,09102024_215801
9,0.9525222551928784,0.963,0.95773247140726,1000.0,09102024_215801
accuracy,0.8946,0.8946,0.8946,0.8946,09102024_215801
macro avg,0.894918012638293,0.8946,0.8945195201216289,10000.0,09102024_215801
weighted avg,0.894918012638293,0.8946,0.8945195201216289,10000.0,09102024_215801
0,0.8575788402848423,0.843,0.8502269288956127,1000.0,09102024_215853
1,0.9868951612903226,0.979,0.9829317269076304,1000.0,09102024_215853
2,0.7892416225749559,0.895,0.8388003748828491,1000.0,09102024_215853
3,0.8988212180746562,0.915,0.9068384539147673,1000.0,09102024_215853
4,0.874859075535513,0.776,0.8224695283518813,1000.0,09102024_215853
5,0.9683794466403162,0.98,0.974155069582505,1000.0,09102024_215853
6,0.7214285714285714,0.707,0.7141414141414142,1000.0,09102024_215853
7,0.9582484725050916,0.941,0.9495459132189707,1000.0,09102024_215853
8,0.9711155378486056,0.975,0.9730538922155688,1000.0,09102024_215853
9,0.95734126984127,0.965,0.9611553784860558,1000.0,09102024_215853
accuracy,0.8976,0.8976,0.8976,0.8976,09102024_215853
macro avg,0.8983909216024145,0.8976,0.8973318680597255,10000.0,09102024_215853
weighted avg,0.8983909216024145,0.8976,0.8973318680597254,10000.0,09102024_215853
0,0.8430232558139535,0.87,0.8562992125984252,1000.0,09102024_215940
1,0.9989743589743588,0.974,0.9863291139240506,1000.0,09102024_215940
2,0.8374142997061704,0.855,0.8461157842652153,1000.0,09102024_215940
3,0.903960396039604,0.913,0.908457711442786,1000.0,09102024_215940
4,0.8062730627306273,0.874,0.8387715930902111,1000.0,09102024_215940
5,0.9876796714579056,0.962,0.9746707193515703,1000.0,09102024_215940
6,0.7378531073446327,0.653,0.6928381962864721,1000.0,09102024_215940
7,0.9285714285714286,0.975,0.951219512195122,1000.0,09102024_215940
8,0.978744939271255,0.967,0.9728370221327968,1000.0,09102024_215940
9,0.9734964322120284,0.955,0.9641595153962644,1000.0,09102024_215940
accuracy,0.8998,0.8998,0.8998,0.8998,09102024_215940
macro avg,0.8995990952121964,0.8998000000000002,0.8991698380682914,10000.0,09102024_215940
weighted avg,0.8995990952121965,0.8998,0.8991698380682914,10000.0,09102024_215940
0,0.8513379583746283,0.859,0.8551518168242906,1000.0,09102024_220114
1,0.983016983016983,0.984,0.9835082458770614,1000.0,09102024_220114
2,0.8025247971145176,0.89,0.8440018966334756,1000.0,09102024_220114
3,0.8856868395773295,0.922,0.9034786869181772,1000.0,09102024_220114
4,0.8498985801217038,0.838,0.8439073514602216,1000.0,09102024_220114
5,0.9816326530612244,0.962,0.9717171717171718,1000.0,09102024_220114
6,0.7934386391251519,0.653,0.7164015359297861,1000.0,09102024_220114
7,0.9164319248826291,0.976,0.945278450363196,1000.0,09102024_220114
8,0.951219512195122,0.975,0.9629629629629628,1000.0,09102024_220114
9,0.9791883454734652,0.941,0.9597144314125446,1000.0,09102024_220114
accuracy,0.9,0.9,0.9,0.9,09102024_220114
macro avg,0.8994376232942756,0.9,0.898612255009889,10000.0,09102024_220114
weighted avg,0.8994376232942753,0.9,0.8986122550098887,10000.0,09102024_220114
0,0.8113035551504102,0.89,0.848831664282308,1000.0,09102024_220206
1,0.9979402677651904,0.969,0.9832572298325722,1000.0,09102024_220206
2,0.7915936952714536,0.904,0.8440709617180205,1000.0,09102024_220206
3,0.8886756238003839,0.926,0.9069539666993144,1000.0,09102024_220206
4,0.8409090909090909,0.814,0.8272357723577236,1000.0,09102024_220206
5,0.9847405900305188,0.968,0.9762985375693394,1000.0,09102024_220206
6,0.7915567282321899,0.6,0.6825938566552902,1000.0,09102024_220206
7,0.9285033365109628,0.974,0.9507076622742802,1000.0,09102024_220206
8,0.955839057899902,0.974,0.964834076275384,1000.0,09102024_220206
9,0.9752832131822864,0.947,0.960933536276002,1000.0,09102024_220206
accuracy,0.8966,0.8966,0.8966,0.8966,09102024_220206
macro avg,0.8966345158752389,0.8966,0.8945717263940235,10000.0,09102024_220206
weighted avg,0.8966345158752389,0.8966,0.8945717263940234,10000.0,09102024_220206
0,0.8792165397170838,0.808,0.8421052631578947,1000.0,09102024_220310
1,0.96,0.984,0.971851851851852,1000.0,09102024_220310
2,0.8267564966313763,0.859,0.8425698871996077,1000.0,09102024_220310
3,0.9073319755600816,0.891,0.8990918264379415,1000.0,09102024_220310
4,0.7943840579710145,0.877,0.8336501901140685,1000.0,09102024_220310
5,0.9854771784232366,0.95,0.9674134419551936,1000.0,09102024_220310
6,0.7352941176470589,0.675,0.7038581856100105,1000.0,09102024_220310
7,0.9148737137511692,0.978,0.94538424359594,1000.0,09102024_220310
8,0.967967967967968,0.967,0.9674837418709354,1000.0,09102024_220310
9,0.9643221202854232,0.946,0.9550731953558808,1000.0,09102024_220310
accuracy,0.8935,0.8935,0.8935,0.8935,09102024_220310
macro avg,0.8935624167954412,0.8935000000000001,0.8928481827149325,10000.0,09102024_220310
weighted avg,0.8935624167954411,0.8935,0.8928481827149324,10000.0,09102024_220310
0,0.8100358422939068,0.904,0.8544423440453687,1000.0,09102024_220531
1,0.9979360165118679,0.967,0.9822244794311833,1000.0,09102024_220531
2,0.8240223463687151,0.885,0.8534233365477338,1000.0,09102024_220531
3,0.897410358565737,0.901,0.8992015968063872,1000.0,09102024_220531
4,0.8700440528634361,0.79,0.8280922431865828,1000.0,09102024_220531
5,0.975975975975976,0.975,0.9754877438719359,1000.0,09102024_220531
6,0.7471783295711061,0.662,0.7020148462354189,1000.0,09102024_220531
7,0.9478957915831663,0.946,0.9469469469469469,1000.0,09102024_220531
8,0.9350525310410697,0.979,0.9565217391304348,1000.0,09102024_220531
9,0.95995995995996,0.959,0.959479739869935,1000.0,09102024_220531
accuracy,0.8968,0.8968,0.8968,0.8968,09102024_220531
macro avg,0.8965511204734942,0.8968,0.8957835016071927,10000.0,09102024_220531
weighted avg,0.8965511204734942,0.8968,0.8957835016071928,10000.0,09102024_220531
